T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,2.15634,-2.86548,0.4717,0.26393,-0.22289,-0.00187,2.59157,-2.91339,-0.20083,-1.68076,4.41165,-0.03855,-0.22149,2.48338,0.40495,-0.00196,-1.71516,0.03456,-0.04403,0.03647,-4.49982,-0.38146,0.39992,0.52697,1.01036,-0.23033,-0.7202,-5.20161,-0.18322,-0.54796,0.01731,1.46943,0.26362,0.54162
0.02,2.20259,-2.89123,0.49999,0.25717,-0.2228,-0.00253,2.64153,-2.94212,-0.19248,-1.62941,4.41079,-0.0405,-0.22807,2.53982,0.41658,-0.00806,-1.67498,0.03544,-0.04617,0.0423,-4.52276,-0.37276,0.39669,0.53335,1.01094,-0.23243,-0.72762,-5.19324,-0.17228,-0.55298,0.01369,1.47085,0.26417,0.5428
0.04,2.23047,-2.91834,0.53088,0.2493,-0.22286,-0.00336,2.67764,-2.96856,-0.18647,-1.58521,4.40999,-0.04245,-0.23361,2.57791,0.4303,-0.01193,-1.64276,0.03652,-0.04894,0.04715,-4.54354,-0.36365,0.39386,0.53988,1.01152,-0.23441,-0.73478,-5.18359,-0.16096,-0.55784,0.01037,1.47223,0.2647,0.54397
0.06,2.24032,-2.94591,0.56243,0.24044,-0.22304,-0.00437,2.69967,-2.99446,-0.1827,-1.54828,4.40919,-0.04443,-0.23815,2.59808,0.4476,-0.01346,-1.61815,0.03785,-0.05238,0.05109,-4.56151,-0.35485,0.39165,0.54656,1.01208,-0.23625,-0.74146,-5.17229,-0.14963,-0.56254,0.00751,1.47356,0.2652,0.54511
0.08,2.23298,-2.97363,0.59156,0.23103,-0.22293,-0.00555,2.7098,-3.02339,-0.1803,-1.51547,4.40853,-0.04666,-0.24203,2.60286,0.47292,-0.01252,-1.6027,0.03946,-0.05653,0.05395,-4.57756,-0.34691,0.39031,0.55396,1.0127,-0.23837,-0.7497,-5.15532,-0.13813,-0.56807,0.0047,1.47499,0.26572,0.54625
0.1,2.21129,-2.99919,0.61493,0.22101,-0.22334,-0.00705,2.70213,-3.05536,-0.18071,-1.49455,4.40754,-0.04884,-0.24459,2.58996,0.50114,-0.00875,-1.59136,0.04144,-0.06138,0.05633,-4.58771,-0.34177,0.39003,0.56069,1.01322,-0.23977,-0.75447,-5.14016,-0.12876,-0.57234,0.00316,1.47617,0.26617,0.54728
0.12,2.17988,-3.02166,0.62912,0.2102,-0.22536,-0.00903,2.67098,-3.09096,-0.18538,-1.49362,4.4056,-0.0507,-0.24521,2.558,0.52579,-0.00171,-1.57673,0.04397,-0.067,0.05911,-4.58675,-0.3416,0.39102,0.5651,1.01342,-0.23922,-0.74924,-5.13699,-0.12429,-0.57257,0.00448,1.47666,0.2665,0.54808
0.14,2.13765,-3.04236,0.62995,0.19963,-0.22783,-0.01132,2.6212,-3.13587,-0.19234,-1.50423,4.40321,-0.05285,-0.24464,2.51051,0.55602,0.00909,-1.566,0.04698,-0.07333,0.06149,-4.57879,-0.34641,0.39348,0.56897,1.01355,-0.23805,-0.74078,-5.13422,-0.12359,-0.5718,0.00709,1.47691,0.26676,0.54872
0.16,2.08452,-3.06355,0.61433,0.19019,-0.22987,-0.01372,2.55823,-3.1962,-0.2005,-1.51898,4.40069,-0.05584,-0.24359,2.45184,0.59852,0.02402,-1.56389,0.05049,-0.08034,0.06292,-4.56697,-0.35622,0.39764,0.5738,1.01378,-0.23731,-0.73445,-5.12256,-0.12589,-0.57242,0.00974,1.4773,0.267,0.54933
0.18,2.02449,-3.08979,0.5816,0.18197,-0.23193,-0.01594,2.48549,-3.27702,-0.21099,-1.53788,4.39745,-0.05994,-0.24238,2.38696,0.65087,0.04338,-1.56446,0.05473,-0.0881,0.06406,-4.54797,-0.37197,0.40385,0.57919,1.01394,-0.23658,-0.72689,-5.1077,-0.13228,-0.5728,0.01345,1.47767,0.26724,0.54997
