T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,1.81603,2.00241,-0.35983,2.26048,-0.01072,-0.01883,1.59795,-3.92712,-0.3267,2.39822,0.06368,0.02988,-0.24696,1.72356,5.09054,0.35129,2.339,-0.10038,0.02159,0.24043,-4.22158,-1.41979,0.08057,-2.7726,0.31016,-0.06465,-0.02412,-5.57791,-1.15554,0.18456,-2.81055,0.33693,0.03788,-0.00473
0.02,1.72481,2.00538,-0.44818,2.27791,0.00203,-0.01789,1.59546,-3.94703,-0.32241,2.40838,0.0647,0.03134,-0.24832,1.7281,4.97168,0.34106,2.33477,-0.10065,0.02199,0.23958,-4.22067,-1.41772,0.08033,-2.77345,0.31018,-0.06446,-0.02399,-5.58585,-1.15453,0.18469,-2.81097,0.33695,0.03796,-0.0047
0.04,1.57966,2.0033,-0.5733,2.2937,0.01705,-0.01674,1.59296,-3.96368,-0.31718,2.42214,0.06599,0.03323,-0.25023,1.72891,4.82482,0.32514,2.33136,-0.10126,0.02373,0.23873,-4.22225,-1.41368,0.0798,-2.77455,0.3102,-0.06427,-0.02385,-5.59559,-1.1512,0.18464,-2.81157,0.33696,0.03803,-0.00465
0.06,1.37606,1.9963,-0.73703,2.30706,0.03411,-0.01538,1.59042,-3.9753,-0.31083,2.43979,0.06754,0.03559,-0.25273,1.7257,4.64873,0.303,2.32946,-0.10234,0.02699,0.23801,-4.22643,-1.40751,0.07894,-2.77587,0.3102,-0.06408,-0.0237,-5.60659,-1.1451,0.18435,-2.81237,0.33696,0.03812,-0.0046
0.08,1.10345,1.98142,-0.9401,2.32014,0.05328,-0.01375,1.58683,-3.98083,-0.30216,2.46221,0.06941,0.03875,-0.25578,1.71918,4.42895,0.27385,2.32978,-0.10403,0.03161,0.23753,-4.23336,-1.39943,0.07769,-2.7774,0.3102,-0.06389,-0.02354,-5.62009,-1.13656,0.1838,-2.81316,0.33696,0.03821,-0.00453
0.1,0.78909,1.96224,-1.17026,2.32545,0.0724,-0.01203,1.58457,-3.97719,-0.29336,2.48737,0.07132,0.04215,-0.25931,1.70804,4.20396,0.23968,2.332,-0.10619,0.03803,0.23737,-4.24242,-1.38883,0.0761,-2.77882,0.3102,-0.06367,-0.02337,-5.63021,-1.12362,0.18278,-2.81426,0.33694,0.0383,-0.00445
0.12,0.46695,1.93889,-1.40358,2.31434,0.08893,-0.01045,1.58597,-3.95546,-0.28665,2.51297,0.07292,0.04517,-0.26316,1.69014,4.02061,0.20264,2.33378,-0.10837,0.04666,0.23722,-4.25275,-1.37482,0.0742,-2.77981,0.31017,-0.0634,-0.02317,-5.62976,-1.10379,0.181,-2.81616,0.33688,0.03837,-0.00435
0.14,0.12566,1.89325,-1.62876,2.29521,0.1031,-0.00893,1.58819,-3.91864,-0.27907,2.54042,0.0744,0.04861,-0.26717,1.66831,3.84391,0.16226,2.33316,-0.11051,0.05643,0.23669,-4.26475,-1.35839,0.07193,-2.78046,0.31014,-0.0631,-0.02296,-5.62333,-1.07898,0.17859,-2.81813,0.3368,0.03845,-0.00423
0.16,-0.24498,1.81115,-1.8363,2.27544,0.11503,-0.00744,1.58833,-3.86649,-0.26798,2.57037,0.07591,0.05313,-0.27109,1.64385,3.64255,0.11857,2.32907,-0.11261,0.06647,0.23563,-4.27873,-1.34024,0.06923,-2.78087,0.31011,-0.06282,-0.02276,-5.61454,-1.05061,0.17566,-2.81958,0.33671,0.03852,-0.0041
0.18,-0.6367,1.68701,-2.00332,2.25328,0.1235,-0.0061,1.58534,-3.78133,-0.25303,2.60139,0.07737,0.05851,-0.27469,1.61362,3.42411,0.07279,2.31947,-0.11445,0.07671,0.23374,-4.29414,-1.31964,0.06607,-2.78127,0.31008,-0.06254,-0.02255,-5.60041,-1.01726,0.17201,-2.82083,0.3366,0.03863,-0.00395
0.2,-0.96589,1.4948,-2.09556,2.22825,0.12441,-0.00526,1.58263,-3.70188,-0.23732,2.62825,0.07818,0.06441,-0.27732,1.58489,3.23586,0.03163,2.29643,-0.115,0.08551,0.23017,-4.31061,-1.29799,0.06258,-2.7806,0.31006,-0.06228,-0.02235,-5.57936,-0.98055,0.16768,-2.821,0.33648,0.03869,-0.00381
0.22,-1.15076,1.21772,-2.08155,2.2006,0.11461,-0.00512,1.58267,-3.6672,-0.22304,2.64473,0.07794,0.07074,-0.27817,1.56021,3.12402,0.00108,2.25239,-0.11324,0.09129,0.22416,-4.3282,-1.27641,0.05881,-2.77779,0.31006,-0.06204,-0.02217,-5.55081,-0.94227,0.16264,-2.81915,0.33635,0.03862,-0.00375
0.24,-1.21587,0.86194,-1.95082,2.17194,0.09441,-0.0058,1.58045,-3.63969,-0.20805,2.64911,0.07658,0.07698,-0.27695,1.53571,3.0565,-0.01983,2.18853,-0.10945,0.09411,0.21576,-4.34562,-1.25371,0.05475,-2.77389,0.31007,-0.06182,-0.02201,-5.51467,-0.90108,0.15674,-2.8161,0.3362,0.03851,-0.00371
0.26,-1.2003,0.44493,-1.70663,2.14451,0.06514,-0.00727,1.57074,-3.58304,-0.19006,2.64045,0.07432,0.08293,-0.27351,1.50565,3.00105,-0.03255,2.1082,-0.10406,0.09432,0.20527,-4.36186,-1.22841,0.05036,-2.76992,0.31008,-0.06162,-0.02187,-5.47224,-0.85581,0.14982,-2.81252,0.33604,0.03845,-0.00365
0.28,-1.13103,-0.00335,-1.36156,2.11963,0.03009,-0.00902,1.55233,-3.47806,-0.16733,2.61752,0.07197,0.08946,-0.26754,1.45607,2.95515,-0.03785,2.01336,-0.09711,0.09239,0.19273,-4.37726,-1.19876,0.04545,-2.76583,0.31008,-0.06145,-0.02176,-5.42541,-0.80605,0.14158,-2.80856,0.33588,0.03835,-0.00361
0.3,-0.8527,-0.49713,-0.92376,2.09631,-0.02099,-0.01265,1.52934,-3.41771,-0.14942,2.5669,0.0668,0.09287,-0.25822,1.43328,2.96571,-0.02701,1.9057,-0.0883,0.08591,0.1789,-4.38607,-1.17008,0.04079,-2.761,0.3101,-0.06126,-0.02166,-5.37355,-0.75728,0.13259,-2.80365,0.3357,0.03836,-0.00355
0.32,-0.23126,-1.01073,-0.4366,2.0722,-0.10022,-0.02006,1.49638,-3.51022,-0.14514,2.47481,0.05571,0.08855,-0.24517,1.47784,3.08655,0.00719,1.79946,-0.07816,0.07324,0.16596,-4.38196,-1.14749,0.03717,-2.75502,0.31015,-0.06101,-0.02158,-5.31792,-0.71514,0.12359,-2.79668,0.33552,0.0387,-0.00341
0.34,0.51465,-1.44876,0.00028,2.05178,-0.19102,-0.02902,1.4543,-3.63557,-0.14535,2.35465,0.04278,0.08128,-0.22912,1.54025,3.23705,0.05026,1.71524,-0.06844,0.05898,0.1555,-4.36716,-1.12579,0.03398,-2.74864,0.31022,-0.06072,-0.02152,-5.26274,-0.67682,0.11389,-2.78946,0.33534,0.03914,-0.00326
