T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-1.60964,-5.16384,0.62499,-0.59461,-0.8155,-0.11385,1.36379,-5.80485,-0.2358,-1.78167,4.8351,-0.11745,-0.10991,1.20978,-1.91399,-0.31759,-2.47294,0.04731,0.00855,-0.10171,12.33933,-10.57797,0.11474,9.52899,-8.83411,7.6981,-0.5434,9.02788,12.98591,-0.24504,8.91565,-9.76029,1.59335,0.2156
0.02,-1.57096,-5.20366,0.58798,-0.62942,-0.81348,-0.11453,1.31079,-5.84047,-0.23491,-1.81333,4.81812,-0.1199,-0.11414,1.18151,-1.87278,-0.34944,-2.43971,0.04127,0.0079,-0.07481,12.35438,-10.60254,0.12469,9.56954,-8.77311,7.73359,-0.54025,8.94413,12.97519,-0.25275,8.92156,-9.7089,1.62793,0.21968
0.04,-1.54569,-5.22155,0.52288,-0.66608,-0.81064,-0.11579,1.25716,-5.87908,-0.23313,-1.84533,4.80158,-0.12218,-0.11805,1.17665,-1.83621,-0.36559,-2.40252,0.03755,0.0062,-0.04885,12.37704,-10.63453,0.13766,9.61272,-8.71023,7.76994,-0.53696,8.8628,12.95333,-0.25979,8.92852,-9.65594,1.66363,0.22347
0.06,-1.53443,-5.21239,0.42758,-0.70437,-0.80709,-0.11763,1.19933,-5.91943,-0.23047,-1.87893,4.78552,-0.1242,-0.12146,1.19323,-1.80626,-0.37009,-2.36153,0.03589,0.0034,-0.02387,12.40611,-10.67182,0.15405,9.65784,-8.64609,7.80745,-0.53346,8.78505,12.92039,-0.26611,8.93535,-9.60198,1.70087,0.22685
0.08,-1.55923,-5.17352,0.30112,-0.74658,-0.80292,-0.12009,1.12518,-5.9581,-0.22705,-1.92049,4.76926,-0.12609,-0.12444,1.20733,-1.7785,-0.37054,-2.32372,0.03513,-0.0008,0.00167,12.444,-10.71544,0.17391,9.70184,-8.5808,7.84849,-0.53083,8.71554,12.87732,-0.27359,8.95224,-9.54689,1.73978,0.23028
0.1,-1.57139,-5.09822,0.1501,-0.78643,-0.79894,-0.12307,1.0504,-5.99654,-0.22297,-1.95974,4.75476,-0.12738,-0.12625,1.25069,-1.76433,-0.36468,-2.281,0.03638,-0.00559,0.02327,12.47884,-10.75259,0.19878,9.75008,-8.51634,7.89071,-0.5264,8.64987,12.82442,-0.27719,8.94812,-9.49404,1.78358,0.23241
0.12,-1.51143,-4.98109,-0.01589,-0.81678,-0.79581,-0.12634,0.99455,-6.03701,-0.21813,-1.98395,4.74379,-0.12751,-0.12594,1.36287,-1.76844,-0.34329,-2.21916,0.04088,-0.01012,0.0366,12.49651,-10.76479,0.2295,9.80551,-8.45644,7.93044,-0.51653,8.58135,12.76967,-0.27244,8.89239,-9.44678,1.83508,0.2322
0.14,-1.43999,-4.82435,-0.19477,-0.84464,-0.79365,-0.12995,0.93557,-6.07363,-0.21308,-2.00671,4.73468,-0.12699,-0.12447,1.48732,-1.77328,-0.31606,-2.15558,0.04609,-0.01481,0.04618,12.5069,-10.76338,0.26548,9.86287,-8.39986,7.97449,-0.50495,8.52088,12.71227,-0.26378,8.8117,-9.40478,1.89432,0.23075
0.16,-1.40762,-4.63111,-0.38286,-0.87619,-0.79239,-0.13381,0.85533,-6.09958,-0.20804,-2.03899,4.72565,-0.12619,-0.1226,1.57927,-1.76409,-0.29476,-2.10527,0.04999,-0.0203,0.05595,12.51802,-10.75369,0.30536,9.9149,-8.3468,8.02844,-0.49437,8.47593,12.6572,-0.25577,8.73081,-9.36789,1.96115,0.22937
0.18,-1.39972,-4.40052,-0.57221,-0.91024,-0.79115,-0.13743,0.75661,-6.10984,-0.20217,-2.07813,4.71533,-0.12454,-0.11971,1.65018,-1.7298,-0.28065,-2.06404,0.05252,-0.02711,0.06603,12.52547,-10.71608,0.34609,9.94996,-8.30372,8.08988,-0.48262,8.44317,12.63075,-0.25242,8.66427,-9.33599,2.03415,0.22982
