T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,1.10652,0.99198,1.03771,1.16076,1.00145,1.0624,0.8091,1.11712,1.0695,0.96598,1.10128,0.89097,1.01316,1.3001,1.08199,0.73621,0.88697,1.01678,0.99189,0.99828,0.99564,1.00394,1.00804,1.00374,1.00157,0.99849,0.99941,0.99633,1.00201,1.06168,1.002,0.99822,0.96492,0.96321,0.94838,1.01797,0.98307,0.87623,0.99927,0.96403,1.24539,0.92943,0.93021,1.07855,0.9524,1.16919,0.99496,0.47867,0.95515,1.29688,1.18546,0.99365,1.01918,1.00255,1.00731,0.99847,0.99718,0.99712,0.9992,1.00281,1.00046,1.00617,0.99922,0.97532,0.99847,1.00356,1.05781,1.02756
0.02,1.11079,0.99231,1.04425,1.16724,1.00995,1.10217,0.77614,1.1165,1.06152,0.95306,1.10143,0.87634,1.00376,1.31164,1.09102,0.70103,0.86849,0.9996,0.9875,1.00041,0.99531,1.00142,1.00958,1.0041,1.00173,0.9989,1.0007,0.99577,0.99877,1.06375,1.00247,0.99822,0.96627,0.96421,0.94563,1.01728,0.97983,0.8685,0.99492,0.93474,1.26285,0.92993,0.93925,1.10162,0.95231,1.18278,0.99859,0.42691,0.94901,1.30855,1.2021,1.00058,1.02891,0.99985,1.00786,0.99945,0.99662,0.99684,0.99912,1.00205,0.99986,1.00709,1.00188,0.97436,0.9981,1.00356,1.05584,1.02683
0.04,1.1157,0.9934,1.05493,1.17821,1.02018,1.14619,0.73079,1.11297,1.04122,0.93432,1.09899,0.85811,0.99523,1.32307,1.10546,0.6595,0.84384,0.98767,0.98107,1.00544,0.9949,0.99862,1.01149,1.00455,1.00189,0.99964,1.00411,0.99504,0.99547,1.06591,1.00306,0.99833,0.96868,0.9662,0.94239,1.01491,0.97429,0.85464,0.98946,0.89397,1.28246,0.93273,0.96095,1.13038,0.95378,1.198,1.007,0.36935,0.93853,1.32005,1.22127,1.01734,1.04239,0.99795,1.00852,1.0021,0.99593,0.9965,0.99904,1.00067,0.99919,1.0083,1.00686,0.97333,0.99765,1.00334,1.05229,1.02541
0.06,1.12144,0.99555,1.07045,1.19508,1.03671,1.18929,0.67286,1.10586,0.99929,0.90936,1.09376,0.83618,0.98695,1.33356,1.12498,0.61348,0.81301,0.97363,0.97229,1.01138,0.99441,0.99563,1.01362,1.00508,1.00205,1.0016,1.00941,0.99413,0.99105,1.06845,1.00374,0.99857,0.97196,0.96901,0.93847,1.01015,0.9657,0.83117,0.98009,0.84167,1.30216,0.93822,1.00247,1.16201,0.95686,1.21421,1.0187,0.30984,0.92293,1.33062,1.24142,1.03567,1.05949,0.99566,1.00933,1.00661,0.99515,0.99608,0.99896,0.99924,0.99812,1.00979,1.01337,0.97212,0.99712,1.00286,1.04736,1.02337
0.08,1.12797,0.99899,1.0907,1.21751,1.06331,1.22765,0.60437,1.09413,0.96352,0.87842,1.08552,0.81095,0.97741,1.3426,1.14823,0.56582,0.77688,0.95852,0.961,1.01783,0.99385,0.99165,1.01577,1.0057,1.00217,1.00489,1.01692,0.99306,0.98563,1.07161,1.00448,0.99898,0.97578,0.97237,0.93385,1.00235,0.95339,0.79517,0.96343,0.77951,1.32012,0.94682,1.09887,1.19343,0.96155,1.2305,1.0315,0.25256,0.90183,1.33973,1.2609,1.05393,1.07949,0.9931,1.01025,1.01249,0.99436,0.9956,0.9989,0.99768,0.99655,1.01153,1.02112,0.97059,0.99655,1.00204,1.04146,1.02091
0.1,1.13514,1.00782,1.11476,1.24324,1.09965,1.25954,0.52921,1.07621,0.91556,0.84243,1.07388,0.78346,0.96721,1.34998,1.17334,0.51984,0.73706,0.94379,0.94725,1.02419,0.9932,0.98672,1.01765,1.00638,1.00223,1.00924,1.02678,0.99187,0.97941,1.07556,1.0052,0.9996,0.97973,0.97591,0.92855,0.99536,0.93688,0.74516,0.93679,0.71066,1.33532,0.95894,1.17643,1.22228,0.96781,1.24591,1.04446,0.201,0.87523,1.34715,1.27852,1.07041,1.10129,0.99049,1.0113,1.01958,0.99366,0.99507,0.99887,0.99558,0.99441,1.01346,1.02972,0.96864,0.99599,1.0008,1.03521,1.01831
0.12,1.14284,1.02055,1.14104,1.26905,1.14028,1.28483,0.45218,1.04959,0.85641,0.80278,1.05795,0.75512,0.95715,1.35575,1.19872,0.47838,0.69538,0.93112,0.93135,1.02988,0.99251,0.98089,1.019,1.00709,1.00219,1.01468,1.03885,0.99061,0.97262,1.0804,1.00583,1.00093,0.98326,0.97922,0.92259,0.98748,0.91596,0.68226,0.90007,0.63921,1.34754,0.975,1.23394,1.24733,0.97578,1.25974,1.05656,0.15718,0.84319,1.35295,1.29372,1.08364,1.12353,0.9881,1.01242,1.0277,0.99316,0.99451,0.99889,0.99289,0.99164,1.01547,1.03875,0.96619,0.9955,0.99953,1.02945,1.01586
0.14,1.15114,1.03587,1.16773,1.29216,1.17674,1.30421,0.37786,1.01014,0.7887,0.76094,1.03538,0.72758,0.9482,1.36015,1.22346,0.44318,0.65331,0.9222,0.91387,1.03418,0.99177,0.97419,1.01963,1.00782,1.00202,1.02108,1.05272,0.98934,0.96548,1.08613,1.00629,1.00317,0.98602,0.98194,0.91581,0.9774,0.89081,0.61056,0.85847,0.56977,1.35703,0.99534,1.27493,1.26837,0.98602,1.27153,1.0668,0.12146,0.80542,1.35731,1.30653,1.09248,1.14496,0.98624,1.01361,1.0367,0.99292,0.99394,0.99898,0.98965,0.98823,1.01749,1.04788,0.9632,0.99514,0.99839,1.02486,1.01382
0.16,1.16046,1.0533,1.19318,1.31114,1.20237,1.31861,0.31003,0.97843,0.71638,0.7184,1.00083,0.7026,0.9415,1.36345,1.24705,0.41495,0.61184,0.91862,0.89571,1.03646,0.991,0.96666,1.01961,1.00853,1.00172,1.02821,1.06767,0.98809,0.95807,1.09263,1.00653,1.00593,0.98772,0.98389,0.90774,0.96507,0.86209,0.53629,0.82248,0.50673,1.36424,1.03593,1.3037,1.28568,0.9997,1.28106,1.07416,0.09326,0.76131,1.3605,1.31723,1.09593,1.16449,0.98524,1.01485,1.0464,0.99293,0.99338,0.99913,0.98592,0.98426,1.01945,1.05698,0.95969,0.99495,0.99698,1.02198,1.01236
0.18,1.17126,1.07208,1.21608,1.32574,1.212,1.32884,0.25159,0.94975,0.6442,0.67683,0.97519,0.68223,0.9384,1.36587,1.26907,0.39401,0.57182,0.92201,0.87815,1.036,0.99019,0.95842,1.01925,1.00923,1.0013,1.03564,1.08271,0.98689,0.95047,1.09964,1.00651,1.00913,0.98832,0.98496,0.89771,0.95061,0.83104,0.46604,0.80711,0.45415,1.36959,1.0761,1.32379,1.29964,1.03371,1.28813,1.07748,0.07179,0.71044,1.3627,1.32613,1.09266,1.18117,0.98544,1.01615,1.05657,0.99306,0.99283,0.99934,0.9819,0.97992,1.02133,1.06594,0.95577,0.99497,0.99531,1.02094,1.01156
