T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,1.92139,-7.42938,1.28507,1.9697,-0.61753,-0.0288,5.60112,-5.02257,-0.36465,0.09458,4.49425,-0.05378,-0.23994,5.82155,-1.29172,-0.06894,-0.80082,0.08947,-0.02481,0.11641,21.73797,-0.68817,2.80657,26.71109,-15.18676,13.65486,0.91596,21.49308,2.89642,-0.64111,19.97152,-18.8264,-0.17805,-1.42723
0.02,1.96284,-7.4398,1.31235,1.98184,-0.62507,-0.02989,5.52003,-5.01377,-0.36016,0.06755,4.4962,-0.05277,-0.23701,5.73966,-1.27479,-0.07059,-0.82749,0.08802,-0.02845,0.11616,21.7917,-0.66709,2.79798,26.67144,-15.19157,13.65706,0.92494,21.4607,2.93526,-0.63962,19.93293,-18.82735,-0.15931,-1.41746
0.04,2.01557,-7.42876,1.35036,1.99806,-0.63213,-0.03097,5.42879,-4.99793,-0.35474,0.03632,4.49832,-0.05141,-0.2335,5.64553,-1.25396,-0.07132,-0.85939,0.08626,-0.03237,0.115,21.84392,-0.64474,2.78963,26.63132,-15.19637,13.65935,0.93382,21.42617,2.9757,-0.638,19.89435,-18.82832,-0.14072,-1.40767
0.06,2.08393,-7.39512,1.39908,2.01819,-0.63837,-0.03194,5.32972,-4.97624,-0.34859,0.00178,4.5006,-0.04978,-0.2295,5.54226,-1.22959,-0.07124,-0.89518,0.08421,-0.03649,0.11307,21.89321,-0.62031,2.78144,26.59126,-15.20117,13.66168,0.94256,21.38974,3.01877,-0.63646,19.85624,-18.82933,-0.12269,-1.39787
0.08,2.15816,-7.34195,1.45876,2.041,-0.64412,-0.03281,5.22808,-4.9547,-0.34233,-0.0333,4.50271,-0.04798,-0.22553,5.4373,-1.2035,-0.07062,-0.93155,0.08238,-0.04057,0.11121,21.9581,-0.59901,2.77407,26.54733,-15.20605,13.66449,0.95153,21.36108,3.06052,-0.63403,19.81862,-18.83005,-0.10158,-1.38858
0.1,2.27912,-7.26345,1.52526,2.06637,-0.64724,-0.03328,5.12687,-4.9272,-0.33598,-0.06934,4.50527,-0.04615,-0.22133,5.33233,-1.17407,-0.06937,-0.96778,0.08003,-0.04472,0.10859,21.99289,-0.56762,2.76586,26.50998,-15.21077,13.66661,0.95955,21.32019,3.11132,-0.63347,19.78146,-18.83144,-0.0869,-1.37864
0.12,2.49886,-7.15694,1.59403,2.09453,-0.64548,-0.03308,5.03085,-4.88831,-0.3297,-0.10655,4.50906,-0.04445,-0.21649,5.23064,-1.14051,-0.06749,-1.00286,0.07622,-0.04907,0.10417,21.94191,-0.50892,2.75464,26.49331,-15.21514,13.66638,0.96558,21.24392,3.18571,-0.63866,19.74826,-18.83444,-0.09095,-1.36656
0.14,2.77742,-7.03455,1.66564,2.12161,-0.64058,-0.03232,4.95028,-4.85176,-0.32481,-0.13857,4.51305,-0.04312,-0.21232,5.14619,-1.10594,-0.06543,-1.03003,0.07232,-0.0531,0.10009,21.86344,-0.44164,2.74258,26.48368,-15.21931,13.66542,0.97048,21.15905,3.26687,-0.64582,19.71517,-18.83817,-0.10138,-1.35396
0.16,3.08361,-6.90964,1.74026,2.14437,-0.63413,-0.03111,4.89663,-4.83133,-0.32259,-0.15903,4.51639,-0.04242,-0.20994,5.09356,-1.07374,-0.06357,-1.04271,0.06941,-0.05641,0.09829,21.80558,-0.38074,2.73147,26.4703,-15.22355,13.66491,0.97525,21.0893,3.34169,-0.65207,19.68164,-18.84173,-0.10836,-1.34219
0.18,3.44184,-6.79538,1.81682,2.16328,-0.62621,-0.02942,4.88189,-4.83534,-0.32389,-0.16427,4.51933,-0.04268,-0.20914,5.08534,-1.04785,-0.06233,-1.03702,0.06706,-0.05902,0.09904,21.751,-0.31759,2.72014,26.46238,-15.22806,13.66375,0.9809,21.03304,3.41947,-0.66015,19.66061,-18.84467,-0.11814,-1.33056
