T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0.00199,0,0.00094,0.0276,0,0,0.07858,0,0,0,0.59085,0,0,0.0897,0,0,0,0.00576,0,0.02486,0.11316,0,0.03683,0.05147,0,0.2897,0.18557,0.11301,0.04214,0.0796,0.03583,0,0.13533,0.10593,0,0.01808,0,0,0.01304,0.00094,0,0.14672,0.0134,0.01416,0,0.01698,0.03819,0,0.02267,0.00157,0.02097,0,0.00679,0,0,0.05217,0,0,0.11328,0,0,0,0,0,0,0.11277,0,0
0.02,0.00221,0,0.00065,0.02801,0,0,0.07826,0,0,0,0.59079,0,0,0.08995,0,0,0,0.00562,0,0.02458,0.11272,0,0.03787,0.05177,0,0.29049,0.18639,0.11262,0.04214,0.08015,0.03538,0,0.13626,0.10506,0,0.01753,0,0,0.01285,0.00093,0,0.14658,0.01322,0.01483,0,0.0167,0.03745,0,0.02215,0.00125,0.02145,0,0.00625,0,0,0.05205,0,0,0.1132,0,0,0,0,0,0,0.11277,0,0
0.04,0.00245,0,0.00039,0.02844,0,0,0.07805,0,0,0,0.59073,0,0,0.09036,0,0,0,0.00548,0,0.02438,0.11226,0,0.0389,0.05207,0,0.29128,0.18724,0.11223,0.04215,0.08066,0.03492,0,0.13717,0.10421,0,0.01697,0,0,0.01265,0.00092,0,0.1464,0.01301,0.01545,0,0.01644,0.03682,0,0.02155,0.00111,0.02187,0,0.00575,0,0,0.05192,0,0,0.11312,0,0,0,0,0,0,0.11277,0,0
0.06,0.0027,0,0.00017,0.0289,0,0,0.0779,0,0,0,0.59068,0,0,0.09084,0,0,0,0.00534,0,0.02425,0.11179,0,0.03996,0.05237,0,0.29206,0.18808,0.11182,0.04215,0.08112,0.03447,0,0.13806,0.10339,0,0.01642,0,0,0.01246,0.00092,0,0.14617,0.01277,0.01603,0,0.0162,0.03628,0,0.02086,0.00114,0.02227,0,0.0053,0,0,0.05177,0,0,0.11304,0,0,0,0,0,0,0.11278,0,0
0.08,0.00291,0,1e-05,0.02939,0,0,0.07766,0,0,0,0.59062,0,0,0.09114,0,0,0,0.00517,0,0.02403,0.1113,0,0.04119,0.05269,0,0.29288,0.18914,0.11138,0.0422,0.08168,0.034,0,0.13906,0.10252,0,0.01586,0,0,0.01227,0.00093,0,0.14585,0.01248,0.01671,0,0.01595,0.03567,0,0.01998,0.00125,0.02286,0,0.00483,0,0,0.05156,0,0,0.11297,0,0,0,0,0,0,0.11278,0,0
0.1,0.00316,1e-05,0.00028,0.02992,2e-05,4e-05,0.07749,1e-05,1e-05,1e-05,0.59069,3e-05,9e-05,0.09145,1e-05,2e-05,1e-05,0.00515,3e-05,0.02401,0.11084,1e-05,0.04242,0.05297,9e-05,0.29368,0.18997,0.11085,0.04217,0.08207,0.03354,2e-05,0.13985,0.1019,0,0.0154,0.00036,1e-05,0.01211,0.00097,2e-05,0.14557,0.01222,0.01729,0.00013,0.01583,0.03533,1e-05,0.01919,0.00159,0.0233,0.00012,0.00461,8e-05,0,0.05144,3e-05,1e-05,0.11291,7e-05,4e-05,0,0,3e-05,1e-05,0.11279,4e-05,3e-05
0.12,0.00355,2e-05,0.00079,0.03047,3e-05,0.0001,0.07754,4e-05,4e-05,3e-05,0.59098,7e-05,0.00017,0.09202,2e-05,4e-05,3e-05,0.00536,8e-05,0.02436,0.11054,3e-05,0.0434,0.05312,0.00026,0.29436,0.19,0.11018,0.04196,0.08187,0.03307,0.00022,0.14002,0.10173,1e-05,0.01514,0.0009,4e-05,0.01199,0.00107,6e-05,0.14546,0.01203,0.01754,0.00049,0.01588,0.03548,4e-05,0.0188,0.00224,0.02312,0.00039,0.00483,0.00018,4e-05,0.05158,0.00011,4e-05,0.11286,0.00018,0.00015,4e-05,2e-05,7e-05,3e-05,0.11289,0.00012,6e-05
0.14,0.00395,0,0.00042,0.03092,0,0,0.07735,0,0,0,0.59057,0,0,0.0923,0,0,0,0.00505,0,0.02445,0.11019,0,0.0441,0.05317,0,0.29471,0.18867,0.10928,0.04165,0.08131,0.03257,0,0.13979,0.10136,0,0.01495,0.00053,0,0.01185,0.001,0,0.14523,0.01174,0.01767,0,0.01561,0.03553,0,0.01847,0.00286,0.02277,0,0.00481,0,0,0.05177,0,0,0.11269,0,0,0,0,0,0,0.11288,0,0
0.16,0.0043,0,0.00041,0.03146,1e-05,2e-05,0.07698,1e-05,1e-05,1e-05,0.59066,1e-05,4e-05,0.09217,0,1e-05,1e-05,0.00509,1e-05,0.02455,0.10995,1e-05,0.04533,0.05327,9e-05,0.29527,0.18814,0.10837,0.04139,0.08104,0.03209,0.0001,0.1398,0.10119,0,0.0148,0.00049,1e-05,0.01175,0.00105,1e-05,0.14505,0.01148,0.01803,0.0001,0.01555,0.03556,1e-05,0.01807,0.00348,0.0228,5e-05,0.00506,4e-05,1e-05,0.05197,2e-05,1e-05,0.11262,5e-05,2e-05,1e-05,1e-05,2e-05,1e-05,0.11295,3e-05,1e-05
0.18,0.00455,1e-05,0.0004,0.032,1e-05,2e-05,0.07628,2e-05,1e-05,1e-05,0.59077,2e-05,5e-05,0.09151,1e-05,1e-05,1e-05,0.00509,2e-05,0.0244,0.10979,1e-05,0.04695,0.05341,0.00011,0.2959,0.18749,0.10734,0.0411,0.08085,0.03154,0.00011,0.13975,0.10102,0,0.01465,0.00046,1e-05,0.01167,0.00109,1e-05,0.14492,0.01119,0.0186,0.00015,0.01544,0.03544,1e-05,0.01761,0.00402,0.02312,7e-05,0.00527,5e-05,2e-05,0.05218,2e-05,2e-05,0.11251,7e-05,3e-05,2e-05,1e-05,2e-05,1e-05,0.11301,4e-05,2e-05
