T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.33977,0.00094,0.00148,-0.01006,-0.0066,0.00031,0.19044,-0.71176,0.01526,-0.11304,-0.13298,0.00294,0.00295,-0.02469,0.12332,-0.02447,-0.09585,0.00429,0.01139,0.0049,-0.13592,0.41623,-0.6366,0.05166,-0.743,0.67632,-1.14338,-0.69404,0.02362,0.00885,0.61927,0.09873,-0.07228,-0.00594
0.02,-0.3464,0.00053,0.00156,-0.01008,-0.00793,0.00022,0.18955,-0.72352,0.01094,-0.12554,-0.12044,0.0027,0.00389,-0.03623,0.14301,-0.01043,-0.12062,0.00378,0.01044,0.00652,-0.14234,0.34513,-0.45808,0.05158,-0.6583,0.59976,-0.81741,-0.66707,0.02455,0.00999,0.56809,0.07415,-0.06674,-0.00504
0.04,-0.34806,0.00011,0.00164,-0.00982,-0.00965,9e-05,0.18397,-0.72561,0.00503,-0.13955,-0.10127,0.00232,0.00505,-0.05001,0.16528,0.01226,-0.15265,0.00301,0.00877,0.00754,-0.14692,0.24622,-0.26837,0.04927,-0.5257,0.50705,-0.50184,-0.61459,0.02519,0.01086,0.48794,0.0396,-0.0582,-0.00388
0.06,-0.3452,-0.00024,0.00173,-0.00926,-0.01179,-5e-05,0.17422,-0.71786,-0.00188,-0.15419,-0.07673,0.00183,0.00639,-0.06499,0.18905,0.04623,-0.19135,0.00203,0.00653,0.00789,-0.14861,0.129,-0.10073,0.04406,-0.35664,0.40779,-0.22921,-0.53859,0.02541,0.01133,0.38269,-0.00292,-0.04747,-0.00255
0.08,-0.33818,-0.00042,0.00184,-0.00845,-0.01426,-0.00019,0.16126,-0.69971,-0.00912,-0.16806,-0.04893,0.00128,0.00778,-0.07947,0.21033,0.09199,-0.23554,0.00088,0.00399,0.00782,-0.14563,0.00824,0.01409,0.03556,-0.17315,0.29771,-0.01597,-0.44294,0.02498,0.01144,0.25867,-0.04972,-0.03585,-0.00111
0.1,-0.32764,-0.00047,0.00188,-0.00741,-0.01705,-0.00031,0.14611,-0.66967,-0.01582,-0.17847,-0.02093,0.00073,0.00907,-0.09081,0.23011,0.15153,-0.28074,-0.00037,0.00127,0.00697,-0.13654,-0.09665,0.05814,0.02229,-0.00335,0.21545,0.1128,-0.3344,0.02369,0.01059,0.1271,-0.09542,-0.02514,0.00027
0.12,-0.31432,-0.00057,0.00164,-0.00621,-0.02017,-0.00039,0.13011,-0.62587,-0.02073,-0.18222,0.00405,0.00025,0.01013,-0.09577,0.25213,0.23068,-0.32043,-0.00166,-0.0013,0.00531,-0.11993,-0.16754,0.09183,0.00443,0.11551,0.17724,0.29443,-0.22068,0.02134,0.00842,-0.00191,-0.13397,-0.01726,0.00167
0.14,-0.29834,-0.00059,0.0009,-0.00503,-0.02336,-0.00041,0.11498,-0.56823,-0.0239,-0.17827,0.02355,-0.00011,0.01074,-0.09169,0.26868,0.32243,-0.35301,-0.00297,-0.00345,0.00387,-0.09384,-0.19178,0.12174,-0.01513,0.15949,0.13331,0.4869,-0.10776,0.01782,0.00558,-0.12122,-0.16064,-0.01366,0.00316
0.16,-0.28014,-0.00032,-0.00054,-0.00402,-0.0263,-0.00037,0.10224,-0.49694,-0.026,-0.16653,0.03648,-0.00035,0.01073,-0.07642,0.27247,0.41192,-0.37847,-0.00429,-0.00533,0.00304,-0.05917,-0.1667,0.1122,-0.03428,0.13096,0.07238,0.50214,-0.00071,0.01327,0.00247,-0.22401,-0.17324,-0.0149,0.00458
0.18,-0.26097,0.00028,-0.0028,-0.00327,-0.02875,-0.00029,0.09345,-0.41258,-0.02689,-0.14709,0.04324,-0.00047,0.0101,-0.04808,0.26478,0.49085,-0.39486,-0.00564,-0.00704,0.0026,-0.01964,-0.10247,0.07132,-0.04929,0.04909,0.00482,0.3041,0.09623,0.00819,-0.0008,-0.30674,-0.17222,-0.02052,0.00593
0.2,-0.24191,0.00125,-0.00565,-0.00281,-0.03043,-0.00018,0.0903,-0.31975,-0.02665,-0.12231,0.0454,-0.00054,0.00884,-0.00542,0.24775,0.55628,-0.4007,-0.00693,-0.00856,0.00254,0.01924,-0.019,-0.03077,-0.05923,-0.05001,-0.06975,-0.16844,0.17875,0.00336,-0.0039,-0.36624,-0.16035,-0.02922,0.00706
0.22,-0.22438,0.00254,-0.0085,-0.0026,-0.03112,-9e-05,0.0949,-0.22256,-0.02525,-0.09473,0.04506,-0.00063,0.00703,0.05291,0.22493,0.61192,-0.39505,-0.00798,-0.00978,0.00285,0.05135,0.0573,-0.10304,-0.06713,-0.13838,-0.13052,-0.54203,0.24186,-0.00031,-0.00622,-0.39959,-0.1416,-0.03929,0.00773
0.24,-0.21044,0.00414,-0.01047,-0.00242,-0.03052,-5e-05,0.11009,-0.12166,-0.02238,-0.0654,0.04406,-0.00079,0.00485,0.12877,0.19699,0.64788,-0.37824,-0.00881,-0.01056,0.00338,0.07209,0.10451,-0.0939,-0.06612,-0.1893,-0.17069,-0.58724,0.2839,-0.00214,-0.00749,-0.40895,-0.1196,-0.04904,0.00802
