T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0.02031,0,0.00737,0.00569,0.00182,0,5e-05,0.00013,0.00274,0,0.00017,0.00044,0,0.00394,0,0,0.00487,0.00031,0,4e-05,6e-05,0.004,4e-05,0,0.00027,0.00105,5e-05,0,0.0004,4e-05,0,0.00265,0.04077,0.00681,0,0,1e-05,0,0.00017,0.00877,0.00833,0.2474,0.0001,0.00102,0,0,0.00011,0.00062,0.00024,0.00012,0,0.00378,0.00047,0,0,0,0,3e-05,0.00102,0,0.00949,7e-05,0,0.00159,6e-05,0.0002,0.00036
0.02,0,0.0203,0,0.00687,0.00541,0.00168,0,6e-05,0.00014,0.00249,0,0.00018,0.00048,0,0.00232,0,0,0.00449,0.00034,0,4e-05,6e-05,0.00362,4e-05,0,0.0003,0.00113,6e-05,0,0.00043,4e-05,0,0.00244,0.0367,0.00723,0,0,1e-05,0,0.00021,0.00864,0.01057,0.236,0.00011,0.00112,0,0,0.00012,0.00069,0.00026,0.00014,0,0.00376,0.00052,0,0,0,0,4e-05,0.00093,0,0.00878,7e-05,0,0.0015,6e-05,0.00022,0.0004
0.04,0,0.0201,0,0.00627,0.0051,0.00154,0,7e-05,0.00016,0.00224,0,0.0002,0.00052,0,0.00062,0,0,0.0041,0.00037,0,5e-05,7e-05,0.0032,5e-05,0,0.00033,0.0012,7e-05,0,0.00047,4e-05,0,0.00223,0.03272,0.00764,0,0,1e-05,0,0.00024,0.00837,0.01305,0.22281,0.00012,0.00122,0,0,0.00013,0.00076,0.00029,0.00015,0,0.00376,0.00057,0,0,0,0,4e-05,0.00084,0,0.00804,7e-05,0,0.0014,7e-05,0.00024,0.00044
0.06,0,0.0197,0,0.00554,0.00473,0.00137,0,8e-05,0.00017,0.002,0,0.00021,0.00056,0,0,0,0,0.0037,0.0004,0,5e-05,7e-05,0.00275,5e-05,0,0.00036,0.00127,8e-05,0,0.00051,5e-05,0,0.00203,0.02888,0.00803,0,0,1e-05,0,0.00028,0.00797,0.01578,0.20774,0.00013,0.00132,0,0,0.00014,0.00083,0.00031,0.00016,0,0.00375,0.00062,0,0,2e-05,0,4e-05,0.00076,0,0.00729,7e-05,0,0.00129,7e-05,0.00026,0.00047
0.08,0,0.01907,0.00054,0.00469,0.00432,0.0012,0,9e-05,0.00018,0.00177,0,0.00023,0.0006,0,0,0,0.00016,0.0033,0.00043,0,6e-05,8e-05,0.00225,5e-05,0,0.00039,0.00132,8e-05,0,0.00054,5e-05,0,0.00182,0.02518,0.0084,0,0,1e-05,0,0.00032,0.00741,0.01877,0.1907,0.00014,0.00142,0,0,0.00015,0.00091,0.00033,0.00017,0,0.00376,0.00067,0,0,6e-05,0,5e-05,0.00068,0,0.00653,7e-05,0,0.00117,7e-05,0.00027,0.00051
0.1,0,0.01818,0.00114,0.0037,0.00385,0.001,0,0.0001,0.0002,0.00157,0,0.00024,0.00064,0,0,0,0.00032,0.00288,0.00046,0,6e-05,9e-05,0.00171,5e-05,0,0.00042,0.00137,9e-05,0,0.00057,5e-05,0,0.00162,0.02167,0.00874,0,0,2e-05,0,0.00037,0.00669,0.02202,0.17163,0.00015,0.00152,0,0,0.00015,0.00098,0.00035,0.00018,0,0.00376,0.00071,0,0,0.0001,4e-05,5e-05,0.00061,0,0.00575,7e-05,0,0.00105,8e-05,0.00029,0.00055
0.12,0,0.01703,0.00167,0.00258,0.00334,0.00079,0,0.00011,0.00021,0.00139,0,0.00025,0.00068,0,0,0,0.00043,0.00246,0.00049,0,6e-05,9e-05,0.00111,6e-05,0,0.00044,0.0014,0.0001,0,0.0006,6e-05,0,0.00142,0.01836,0.00905,0,0,2e-05,0,0.00042,0.0058,0.02551,0.15049,0.00016,0.0016,0,0,0.00016,0.00105,0.00037,0.00019,0,0.00376,0.00076,0.00091,0,0.00014,6e-05,5e-05,0.00054,0,0.00496,6e-05,0,0.00092,8e-05,0.0003,0.00059
0.14,0,0.01557,0.00214,0.00133,0.00278,0.00056,0,0.00012,0.00022,0.00125,0,0.00026,0.0007,0,0,0,0.00049,0.00202,0.00052,0,7e-05,9e-05,0.00046,6e-05,0,0.00047,0.00141,0.00011,0,0.00062,6e-05,0,0.00123,0.01526,0.00933,0,0,2e-05,0,0.00046,0.00474,0.02924,0.12728,0.00016,0.00168,0,0,0.00016,0.00111,0.00038,0.0002,0,0.00375,0.00079,0.002,0,0.0002,7e-05,5e-05,0.00048,0,0.00416,6e-05,0,0.00079,8e-05,0.00031,0.00062
0.16,0,0.01381,0.00254,0,0.00218,0.00031,0,0.00013,0.00023,0.00115,0.00171,0.00027,0.00073,0,0,0,0.00051,0.00155,0.00054,0,7e-05,0.0001,0,6e-05,0,0.00049,0.0014,0.00012,0,0.00064,6e-05,0,0.00105,0.01237,0.00957,0,0,2e-05,0.00045,0.00052,0.00352,0.03318,0.102,0.00017,0.00174,0,0,0.00016,0.00117,0.0004,0.00021,0.00022,0.00371,0.00082,0.00311,0,0.00026,5e-05,5e-05,0.00042,0,0.00336,5e-05,0,0.00065,8e-05,0.00032,0.00064
0.18,0,0.01173,0.0029,0,0.00153,5e-05,0,0.00014,0.00024,0.00109,0.01668,0.00028,0.00074,0,0,0,0.00049,0.00107,0.00055,0,7e-05,0.0001,0,6e-05,0,0.0005,0.00136,0.00012,0,0.00065,6e-05,0,0.00087,0.00967,0.00977,0,0,2e-05,0.001,0.00057,0.00215,0.03731,0.0747,0.00017,0.00178,0,0,0.00016,0.00122,0.0004,0.00021,0.00064,0.00364,0.00085,0.00425,0,0.00033,2e-05,6e-05,0.00036,0,0.00256,4e-05,1e-05,0.0005,8e-05,0.00032,0.00067
0.2,0,0.00931,0.00321,0,0.00085,0,0,0.00016,0.00024,0.00109,0.03296,0.00028,0.00075,0,0,0,0.00043,0.00055,0.00056,0,7e-05,0.0001,0,6e-05,0,0.00051,0.00131,0.00013,0,0.00065,6e-05,0,0.00071,0.00715,0.00993,0,0,2e-05,0.00164,0.00062,0.00063,0.0416,0.04544,0.00017,0.0018,0,0,0.00015,0.00126,0.00041,0.00022,0.00114,0.00352,0.00087,0.00543,0,0.0004,0,6e-05,0.00031,0,0.00175,3e-05,0.00032,0.00036,8e-05,0.00032,0.00068
