T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0,0.00361,0.01523,0,0,0.06347,0,0,0,0.62209,0,0,0.07392,0,0,0,0.00863,0,0.00858,0,0.00804,0,0.00151,0.03334,0,0,0,0,0,0.00157,0.04008,0.0118,0.04801,0.00489,0.01719,0,0,0.00715,0.00106,0,0.07699,0.00703,0.0226,0,0.00398,0.01457,0,0.00397,0.00445,0.02585,0,0.00924,0,0.05161,0,0.02603,0,0,0.01156,0.042,0.03934,0.0048,0.07888,0,0,0,0
0.02,0,0,0.00347,0.01563,0,0,0.0633,0,0,0,0.62119,0,0,0.07378,0,0,0,0.00857,0,0.00855,0,0.00785,0,0.00151,0.03298,0,0,0,0,0,0.00148,0.04044,0.01098,0.03975,0.00469,0.01712,0,0,0.00713,0.00105,0,0.07708,0.00702,0.02269,0,0.00393,0.01447,0,0.004,0.00447,0.02591,0,0.00924,0,0.05154,0,0.02408,0,0,0.01254,0.05058,0.03963,0.00474,0.07187,0,0,0,0
0.04,0,0,0.00326,0.01607,0,0,0.06302,0,0,0,0.62037,0,0,0.07352,0,0,0,0.0085,0,0.00848,0,0.00762,0,0.00151,0.03264,0,0,0,0,0,0.00137,0.04077,0.01019,0.03196,0.00448,0.01699,0,0,0.00709,0.00102,0,0.07721,0.00701,0.02284,0,0.00389,0.01433,0,0.00403,0.0045,0.02602,0,0.00923,0,0.05146,0,0.02198,0,0,0.01346,0.0592,0.03998,0.00466,0.06568,0,0,0,0
0.06,0,0,0.003,0.01657,0,0,0.06261,0,0,0,0.61966,0,0,0.07313,0,0,0,0.00844,0,0.00838,0,0.00736,0,0.00151,0.03231,0,0,0,0,0,0.00126,0.04108,0.00943,0.02466,0.00429,0.0168,0,0,0.00704,0.00099,0,0.07742,0.007,0.02304,0,0.00385,0.01415,0,0.00407,0.00453,0.02618,0,0.00921,0,0.05132,0,0.01964,0,0,0.01431,0.06763,0.04037,0.00458,0.06017,0,0,0,0
0.08,0,0,0.00268,0.01713,0,0,0.0621,0,0,0,0.61885,0,0,0.07263,0,0,0,0.00836,0,0.00823,0,0.00702,0,0.00154,0.03192,0,0,0,0,0,0.00114,0.04142,0.0086,0.01674,0.00409,0.01652,0,0,0.00696,0.00096,0,0.07769,0.00698,0.0233,0,0.00382,0.01396,0,0.00409,0.00456,0.0264,0,0.00919,0,0.05101,0,0.0162,0,0,0.01536,0.07873,0.04083,0.00451,0.0543,0,0,0,0
0.1,0,0,0.0023,0.01768,0,0,0.06141,0,0,0,0.61849,0,0,0.07194,0,0,0,0.00828,0,0.00803,0,0.00673,0,0.00159,0.03171,0,0,0,0,0,0.00105,0.04166,0.00797,0.01081,0.00394,0.01616,0,0,0.00686,0.00092,0,0.07807,0.00696,0.02365,0,0.00381,0.01369,0,0.00416,0.00461,0.0267,0,0.00916,0,0.0506,0,0.01335,0,0,0.01595,0.0854,0.04122,0.00446,0.04998,0,0,0,0
0.12,0,0,0.00188,0.0181,0,0,0.06044,0,0,0,0.61914,0,0,0.07098,0,0,0,0.0082,0,0.00778,0,0.00658,0,0.00157,0.03197,0,0,0,0,0,0.00101,0.04167,0.00787,0.00995,0.00388,0.01572,0,0,0.00675,0.00087,0,0.07862,0.00694,0.02414,0,0.00381,0.01326,0,0.00434,0.00469,0.02711,0,0.00908,0,0.05031,0,0.01357,0,0,0.01522,0.0777,0.04143,0.00445,0.04918,0,0,0,0
0.14,0,0,0.00142,0.01846,0,0,0.05931,0,0,0,0.62024,0,0,0.06984,0,0,0,0.00811,0,0.00747,0,0.00647,0,0.00154,0.03239,0,0,0,0,0,0.001,0.04159,0.00797,0.01085,0.00389,0.01517,0,0,0.00662,0.00082,0,0.07929,0.0069,0.02473,0,0.00383,0.01277,0,0.00457,0.00478,0.02759,0,0.00899,0,0.05009,0,0.01434,0,0,0.01407,0.06574,0.04157,0.00448,0.04926,0,0,0,0
0.16,0,0,0.00093,0.01884,0,0,0.05812,0,0,0,0.62125,0,0,0.06858,0,0,0,0.00799,0,0.00712,0,0.0063,0,0.00151,0.03269,0,0,0,0,0,0.00099,0.04156,0.00795,0.01082,0.00392,0.0145,0,0,0.00645,0.00076,0,0.08004,0.00687,0.02534,0,0.00386,0.01229,0,0.00478,0.00486,0.02812,0,0.00889,0,0.04984,0,0.01387,0,0,0.01319,0.05695,0.04169,0.00455,0.04822,0,0,0,0
0.18,0,0,0.00044,0.0192,0,0,0.05687,0,0,0,0.6219,0,0,0.06722,0,0,0,0.00787,0,0.00675,0,0.00614,0,0.00147,0.03302,0,0,0,0,0,0.00099,0.04153,0.00794,0.01087,0.004,0.01371,0,0,0.00625,0.0007,0,0.08087,0.00684,0.026,0,0.00389,0.01176,0,0.00501,0.00496,0.0287,0,0.00879,0,0.04972,0,0.01342,0,0,0.01222,0.04728,0.04178,0.00466,0.04688,0,0,0,0
