T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,7.17872,-0.76334,-0.08511,2.82061,-0.39582,-0.07296,0.38388,-8.0094,-0.41369,2.47609,0.00984,-0.02178,-0.25536,0.58775,7.45027,0.32527,2.4977,-0.06901,-0.00623,0.26143,27.1798,14.66264,0.83297,17.72811,-22.8092,7.80677,3.45992,-3.46116,2.46064,-0.06671,-1.61146,0.32217,0.06471,0.02361
0.02,7.16275,-0.77119,-0.08777,2.82173,-0.39568,-0.07301,0.38517,-8.00924,-0.41304,2.47639,0.01007,-0.02156,-0.25538,0.58995,7.44794,0.32589,2.4962,-0.06905,-0.00607,0.26129,27.23584,14.65353,0.83685,17.72499,-22.81174,7.80119,3.45955,-3.4711,2.46306,-0.06651,-1.61224,0.32217,0.06469,0.02363
0.04,7.14613,-0.78368,-0.09091,2.82268,-0.39566,-0.07306,0.38639,-8.00961,-0.41253,2.47677,0.0103,-0.02138,-0.25542,0.59202,7.44495,0.32654,2.49432,-0.06908,-0.00593,0.2611,27.29063,14.64477,0.84068,17.72176,-22.81428,7.79566,3.45926,-3.48156,2.46587,-0.06627,-1.61305,0.32216,0.06468,0.02366
0.06,7.1287,-0.80069,-0.09421,2.82337,-0.39575,-0.07313,0.3876,-8.01062,-0.41215,2.47728,0.0105,-0.02125,-0.25547,0.59393,7.44139,0.3272,2.49209,-0.06908,-0.00581,0.26087,27.34385,14.63627,0.84446,17.71892,-22.81672,7.79045,3.45908,-3.49224,2.46895,-0.06599,-1.6139,0.32216,0.06467,0.02369
0.08,7.10805,-0.82069,-0.09729,2.82402,-0.39597,-0.0732,0.3888,-8.01248,-0.41179,2.47802,0.01074,-0.02111,-0.25555,0.59583,7.43737,0.32801,2.48948,-0.06907,-0.00571,0.26059,27.40162,14.62699,0.84853,17.71297,-22.81963,7.78369,3.45855,-3.5041,2.47215,-0.06561,-1.61456,0.32216,0.06465,0.02372
0.1,7.09019,-0.84462,-0.09967,2.82395,-0.39621,-0.07326,0.39009,-8.01507,-0.41178,2.47887,0.01087,-0.02109,-0.25563,0.5973,7.43322,0.32875,2.48676,-0.06901,-0.00565,0.26027,27.4491,14.61927,0.85216,17.71378,-22.82159,7.78009,3.45881,-3.5138,2.47502,-0.06523,-1.61552,0.32216,0.06465,0.02375
0.12,7.08258,-0.87352,-0.10084,2.82239,-0.39636,-0.07325,0.3917,-8.0182,-0.4125,2.47964,0.01073,-0.02135,-0.2557,0.59792,7.42941,0.32913,2.48429,-0.06882,-0.00561,0.25995,27.46776,14.61475,0.85459,17.73278,-22.82054,7.78654,3.46141,-3.51723,2.47706,-0.06501,-1.61742,0.32215,0.06473,0.02379
0.14,7.07934,-0.90263,-0.10055,2.82017,-0.39643,-0.07321,0.39345,-8.02206,-0.41355,2.48053,0.01049,-0.02173,-0.25577,0.59806,7.42613,0.32953,2.48197,-0.06858,-0.00562,0.25963,27.47653,14.61166,0.85671,17.75874,-22.8186,7.79598,3.46475,-3.51802,2.47814,-0.06479,-1.61957,0.32213,0.06482,0.02383
0.16,7.07583,-0.92754,-0.09853,2.81803,-0.39638,-0.07315,0.39521,-8.02673,-0.41455,2.48167,0.01027,-0.02207,-0.25586,0.59806,7.42362,0.33024,2.47975,-0.06834,-0.00569,0.25934,27.49081,14.60775,0.85929,17.78219,-22.81733,7.80312,3.46761,-3.51908,2.47816,-0.06445,-1.62145,0.32212,0.0649,0.02387
0.18,7.07474,-0.94734,-0.09449,2.81589,-0.39607,-0.07306,0.39745,-8.03194,-0.41561,2.48302,0.01002,-0.02239,-0.25597,0.5979,7.42242,0.3311,2.47796,-0.0681,-0.00573,0.25911,27.50309,14.59969,0.86245,17.80443,-22.81487,7.81404,3.47107,-3.5186,2.47701,-0.06406,-1.62343,0.3221,0.06498,0.0239
0.2,7.07861,-0.95891,-0.08848,2.8137,-0.39558,-0.07295,0.39908,-8.03759,-0.41675,2.48441,0.00976,-0.02275,-0.25608,0.59719,7.42256,0.33238,2.47658,-0.06784,-0.006,0.25897,27.51869,14.59807,0.86518,17.83105,-22.81455,7.81799,3.47349,-3.51779,2.47418,-0.06356,-1.62501,0.32209,0.06504,0.02392
0.22,7.08954,-0.95928,-0.08065,2.81141,-0.39504,-0.07286,0.39874,-8.0436,-0.41795,2.48572,0.00954,-0.0232,-0.2562,0.59554,7.42399,0.33446,2.47549,-0.06754,-0.00678,0.25893,27.54475,14.61564,0.86602,17.87073,-22.82086,7.80029,3.47249,-3.51826,2.46925,-0.06284,-1.62561,0.32211,0.06503,0.02391
0.24,7.10562,-0.94904,-0.07096,2.8093,-0.39423,-0.07276,0.39779,-8.04967,-0.41916,2.48709,0.00932,-0.02365,-0.25634,0.59338,7.42716,0.3369,2.47516,-0.06727,-0.00776,0.25903,27.57473,14.63944,0.86633,17.91401,-22.82928,7.77574,3.47047,-3.5185,2.46281,-0.06203,-1.62582,0.32213,0.06499,0.02389
0.26,7.12416,-0.9292,-0.05957,2.80763,-0.39299,-0.07264,0.39734,-8.05558,-0.42026,2.48868,0.0091,-0.02403,-0.25651,0.59114,7.43233,0.33935,2.47595,-0.06708,-0.00867,0.25931,27.60439,14.65886,0.86713,17.95386,-22.83638,7.75545,3.46916,-3.51751,2.45553,-0.06122,-1.62612,0.32215,0.06495,0.02386
0.28,7.14487,-0.9004,-0.0469,2.80615,-0.39135,-0.0725,0.39682,-8.06118,-0.42118,2.49061,0.00889,-0.02436,-0.25674,0.58906,7.43942,0.34191,2.47789,-0.06698,-0.00961,0.25979,27.63373,14.67894,0.86694,18.00229,-22.84478,7.7305,3.46669,-3.51523,2.44766,-0.06048,-1.62648,0.32217,0.06491,0.02383
0.3,7.16395,-0.86313,-0.0337,2.80543,-0.38947,-0.0724,0.39674,-8.06658,-0.42189,2.49297,0.00871,-0.02455,-0.25706,0.58671,7.44766,0.34406,2.4812,-0.067,-0.01043,0.26048,27.667,14.69803,0.86817,18.03414,-22.85097,7.71343,3.46622,-3.51362,2.43952,-0.05971,-1.62658,0.32218,0.06487,0.0238
