T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0.05747,0.04006,0,0.13535,0.00855,0.00274,0.02093,0,0,0.03019,3e-05,0,0,0.01797,0.43118,0.0554,0.04071,0,0,0.03201,0.02221,0,0.08879,0.10857,0,0.05821,0.09708,0.05233,0.01471,0.00188,0.12496,0,0,0,0,0,0.00572,0,0,0,0,0.53327,0.02911,0,0,0.03821,0.02392,0,0,0,0,0.00968,0.07534,0,0,0.0394,0,0,0.07433,0,0,0,0,0,0,0.09271,0.09757,0.07541
0.02,0.05879,0.046,0,0.13329,0.00951,0.00293,0.02124,0,0,0.03004,0.00016,0,0,0.01754,0.43576,0.05649,0.04099,0,0,0.03222,0.01762,0,0.09337,0.10912,0,0.02015,0.08806,0.05227,0.01476,0.00088,0.12416,0,0,0,0,0,0.00634,0,0,0,0,0.53166,0.02864,0,0,0.03833,0.02377,0,0,0,0,0.00987,0.07583,0,0,0.03961,0,0,0.07186,0,0,0,0,0,0,0.09328,0.13474,0.0698
0.04,0.06029,0.05256,0.0001,0.12869,0.0106,0.00343,0.02176,0.00015,0.0001,0.03004,0.00292,0.00024,0.00052,0.01724,0.44202,0.0569,0.04125,0.00088,0.00025,0.03299,0.01305,6e-05,0.09784,0.10995,0.00056,0.01332,0.07994,0.05259,0.0149,0.00041,0.12362,0.00068,0.00047,0.00027,0.00014,9e-05,0.00703,0.00014,0.0001,0.00027,5e-05,0.52837,0.02824,0.00012,0.00254,0.03916,0.02405,0.00019,0.00023,7e-05,0.00014,0.01078,0.07701,0.00064,5e-05,0.03963,0.00018,0.00037,0.06955,0.027,0.00019,0.0002,5e-05,0.00054,0.00026,0.09415,0.17161,0.06452
0.06,0.06177,0.05905,7e-05,0.12236,0.01123,0.00362,0.0223,0.00011,8e-05,0.02995,0.00207,0.00018,0.00041,0.0169,0.44805,0.05614,0.04114,0.00069,0.00019,0.03295,0.00842,4e-05,0.10086,0.11052,0.0004,0.00984,0.07096,0.05291,0.01514,0.00031,0.12277,0.00049,0.00035,0.0002,0.0001,7e-05,0.00757,0.00011,8e-05,0.00021,4e-05,0.52127,0.02765,9e-05,0.00187,0.03895,0.02369,0.00014,0.00016,6e-05,0.00011,0.01056,0.07682,0.0005,4e-05,0.0391,0.00014,0.00026,0.06724,0.05457,0.00015,0.00014,4e-05,0.00147,0.00019,0.09496,0.20648,0.05798
0.08,0.0639,0.06533,0.00011,0.11771,0.01155,0.00381,0.02301,7e-05,0.00045,0.02993,0.00155,0.00013,0.00036,0.01654,0.45541,0.05505,0.04095,0.00056,0.00014,0.03314,0.0028,3e-05,0.10161,0.11067,0.00027,0.00778,0.06321,0.05305,0.01597,0.00024,0.12183,0.00034,0.00033,0.00023,7e-05,0.00019,0.00798,0.0001,6e-05,0.00016,0.00014,0.51303,0.02768,0.00012,0.00155,0.03873,0.02336,9e-05,0.00011,7e-05,0.00018,0.01038,0.07662,0.00067,3e-05,0.03732,0.00011,0.00017,0.06525,0.07976,0.0001,9e-05,3e-05,0.003,0.00013,0.09583,0.23952,0.05031
0.1,0.06633,0.07081,0,0.11413,0.01171,0.00389,0.02342,0,0.00017,0.02966,3e-05,0,0,0.01634,0.46351,0.05276,0.04042,1e-05,0,0.03253,0.00195,0,0.10202,0.11148,0,0.00517,0.05626,0.05322,0.01669,0,0.12061,0,0,0,0,1e-05,0.00797,0,0,0,2e-05,0.50269,0.02679,0,0.00032,0.03811,0.02272,0,0,0,0,0.00976,0.07585,2e-05,0.00367,0.03577,0,0,0.06379,0.10137,0,0,0,0.00349,0,0.09674,0.26946,0.04258
0.12,0.06902,0.07635,0,0.11145,0.01215,0.00416,0.02437,0,3e-05,0.0295,0,0,0,0.01668,0.47295,0.04913,0.04006,0,0,0.03249,0.00147,0,0.10561,0.11431,0,0.00363,0.05095,0.05363,0.01659,0,0.1191,0,0,0,0,0,0.00765,0,0,0,0,0.48999,0.02571,0,0.00073,0.03768,0.02238,0,0,0,0,0.00934,0.07507,0,0.00309,0.03646,0,0,0.06316,0.12213,0,0,0,0.00206,0,0.09799,0.29607,0.03892
0.14,0.07277,0.08149,0,0.10935,0.01262,0.00441,0.02531,0,0.00013,0.02932,0,0,0,0.01754,0.48352,0.0451,0.03976,1e-05,1e-05,0.03239,0.00214,0,0.10943,0.11776,0,0.0022,0.04726,0.0537,0.01637,0.00095,0.11714,0,0,0,0,0,0.007,0,0,0,0,0.47706,0.02492,0,0.00126,0.03724,0.02203,0,0,0,0,0.00903,0.07423,0,0.00227,0.03755,0,0,0.06323,0.14027,0,0,0,0.00116,0,0.09957,0.31981,0.03647
0.16,0.07528,0.08601,6e-05,0.10777,0.0131,0.00475,0.02594,2e-05,0.00015,0.0291,0.00043,2e-05,0.00041,0.01957,0.49503,0.04154,0.03939,0.00061,0.00018,0.03241,0.00208,0,0.11125,0.12078,2e-05,0.0018,0.04552,0.05308,0.01681,0.00198,0.11481,2e-05,2e-05,0.00011,1e-05,0,0.00611,1e-05,4e-05,0.00017,4e-05,0.46599,0.02432,3e-05,0.00224,0.03701,0.02205,4e-05,1e-05,1e-05,0.00011,0.00941,0.07419,0.00012,0.00185,0.03746,0.00016,1e-05,0.06393,0.15629,2e-05,1e-05,1e-05,0.00101,0,0.10148,0.34148,0.03296
0.18,0.07794,0.08883,1e-05,0.1065,0.01359,0.00479,0.02621,0,9e-05,0.02878,0.00016,0,0.00042,0.02227,0.50671,0.03806,0.039,0.00024,0,0.03227,0.00101,0,0.11077,0.12352,0,0.00066,0.04594,0.05163,0.01784,0.00239,0.11186,0,0,0,0,0,0.00493,0,0,1e-05,1e-05,0.45588,0.02377,1e-05,0.00244,0.03681,0.02168,0,0,0,0,0.00915,0.07305,0,0.00173,0.03653,0,0,0.0653,0.17013,0,0,0,0.0003,0,0.10368,0.35697,0.02688
